timestamp,mmsi,name,last_seen,hours_dark,last_latitude,last_longitude,last_speed
2025-09-19T19:07:56.319518,109120421,NORSOL 3 23,2025-09-19T17:07:47.595763,2.0,68.950917,16.008292,0.6
2025-09-19T19:07:56.319518,109120446,SENJATIND 1 52,2025-09-19T17:07:47.595766,2.0,69.532877,18.079988,0.1
2025-09-19T19:07:56.319518,109120462,KARL MARTIN BO 88,2025-09-19T17:07:47.595773,2.0,69.172815,17.941695,0.1
2025-09-19T19:07:56.319518,109120463,KARL MARTIN BO 81,2025-09-19T17:07:47.595776,2.0,69.179722,17.977082,0.2
2025-09-19T19:07:56.319518,109050519,MUSVERINGEN 16,2025-09-19T17:07:47.595950,2.0,70.695383,30.383052,1.3
2025-09-19T19:07:56.319518,109050891,SOLRUN B 3 69,2025-09-19T17:07:47.595983,2.0,70.633385,29.721808,0.2
2025-09-19T19:07:56.319518,109050900,SENJALIV 1 43,2025-09-19T17:07:47.595988,2.0,69.529935,18.101203,0.3
2025-09-19T19:07:56.319518,109050923,SARA KARIN 80,2025-09-19T17:07:47.595997,2.0,74.668047,18.780507,8.2
2025-09-19T19:07:56.319518,109050937,HAAVARD A 63,2025-09-19T17:07:47.596000,2.0,67.646143,15.135388,0.0
2025-09-19T19:07:56.319518,231099000,HAV NES,2025-09-19T14:59:50.513068,4.1,65.028642,11.604557,10.7
2025-09-19T19:07:56.319518,109060230,KRISTINE E,2025-09-19T17:07:47.596335,2.0,71.174415,26.48847,1.6
2025-09-19T19:07:56.319518,109060233,KRISTINE E,2025-09-19T17:07:47.596338,2.0,71.171447,26.46456,1.1
2025-09-19T19:07:56.319518,109060326,AH SENIOR,2025-09-19T14:32:57.656195,4.6,70.81341,29.726408,4.1
2025-09-19T19:07:56.319518,941215684,HAAVARD A,2025-09-19T17:07:47.596382,2.0,67.622627,15.243805,0.9
2025-09-19T19:07:56.319518,702106000,MARCUS,2025-09-19T17:07:47.596598,2.0,69.90333333333334,21.876666666666665,0.0
2025-09-19T19:07:56.319518,111257011,NOR-012,2025-09-19T17:07:47.596669,2.0,67.271697,14.357802,0.0
2025-09-19T19:07:56.319518,111257506,LN-OXH,2025-09-19T17:07:47.596685,2.0,69.686008,18.914372,0.0
2025-09-19T19:07:56.319518,111257512,SAR AC RESCUE 7,2025-09-19T16:47:54.856743,2.3,69.683183,18.91261,0.0
2025-09-19T19:07:56.319518,109050901,NORSOL 1 91,2025-09-19T17:07:47.595991,2.0,68.988878,16.04245,0.4
2025-09-19T19:07:56.319518,109080531,RASA 1,2025-09-19T17:07:47.594289,2.0,70.241502,19.49652,0.6
2025-09-19T19:07:56.319518,109060315,RASA 5,2025-09-19T17:07:47.596344,2.0,70.24145,19.496377,0.6
2025-09-19T19:07:56.319518,109060308,RASA 2,2025-09-19T17:07:47.596341,2.0,70.241552,19.496275,0.3
2025-09-19T19:07:56.319518,109120407,NORSOL 2 95,2025-09-19T17:07:47.595757,2.0,69.083422,16.142448,1.4
2025-09-19T19:08:34.974213,586706041,LEINEBRIS 34,2025-09-19T17:07:47.593973,2.0,75.375993,19.74737,3.4
2025-09-19T19:08:34.974213,586706108,586706108,2025-09-19T17:07:47.593978,2.0,68.216867,14.94592,0.3
2025-09-19T19:08:34.974213,586706109,AH BOY3,2025-09-19T17:07:47.593982,2.0,68.24058,14.688892,0.1
2025-09-19T19:08:34.974213,586706114,AH BOY1,2025-09-19T17:07:47.593985,2.0,68.230162,14.647283,0.4
2025-09-19T19:08:34.974213,586706177,ALI BOY 1,2025-09-19T17:07:47.593989,2.0,70.794892,29.845007,3.2
2025-09-19T19:08:34.974213,586706383,LOFOTFANGST,2025-09-19T17:07:47.594006,2.0,70.84839,29.302265,2.3
2025-09-19T19:08:34.974213,586707108,LK4,2025-09-19T17:07:47.594066,2.0,70.37757,20.214892,2.4
2025-09-19T19:08:34.974213,586707130,LK5,2025-09-19T17:07:47.594069,2.0,70.3711,20.258757,2.2
2025-09-19T19:08:34.974213,586707135,LK6,2025-09-19T17:07:47.594078,2.0,70.38827,20.270608,1.8
2025-09-19T19:08:34.974213,586707140,LK3,2025-09-19T17:07:47.594091,2.0,70.39464,20.45231,1.8
2025-09-19T19:08:34.974213,586707148,LK2,2025-09-19T17:07:47.594097,2.0,70.458578,20.168353,1.0
2025-09-19T19:08:34.974213,586707240,LK1,2025-09-19T17:07:47.594109,2.0,70.376325,20.277225,1.1
2025-09-19T19:08:34.974213,109080131,KRYSSHOLM 6,2025-09-19T17:07:47.594211,2.0,71.535585,32.845305,1.5
2025-09-19T19:08:34.974213,109080134,KRYSSHOLM 4,2025-09-19T17:07:47.594217,2.0,71.671892,33.030293,1.6
2025-09-19T19:08:34.974213,109080299,T 9 K 7,2025-09-19T17:07:47.594235,2.0,70.58513,20.42363,1.0
2025-09-19T19:08:34.974213,109080344,ANGELSEN SR,2025-09-19T17:07:47.594243,2.0,68.797538,13.07394,1.2
2025-09-19T19:08:34.974213,109080402,T 9 K 8,2025-09-19T17:07:47.594264,2.0,70.490535,20.099833,1.4
2025-09-19T19:08:34.974213,109080478,ANGELSEN SR,2025-09-19T17:07:47.594273,2.0,68.799225,13.133197,3.0
2025-09-19T19:08:34.974213,109080479,ANGELSEN SR,2025-09-19T17:07:47.594276,2.0,68.808177,13.148163,1.7
2025-09-19T19:08:34.974213,109080480,ANGELSEN SR,2025-09-19T17:07:47.594280,2.0,68.801835,13.047973,1.3
2025-09-19T19:08:34.974213,109080481,ANGELSEN SR,2025-09-19T17:07:47.594283,2.0,68.797672,13.095672,1.9
2025-09-19T19:08:34.974213,109080485,ANGELSEN SR,2025-09-19T17:07:47.594285,2.0,68.799413,13.116515,1.2
2025-09-19T19:08:34.974213,109080673,ANGELSEN SR,2025-09-19T17:07:47.594296,2.0,68.72479,13.038445,1.1
2025-09-19T19:08:34.974213,109080675,ANGELSEN SR,2025-09-19T17:07:47.594299,2.0,68.798885,13.058128,1.7
2025-09-19T19:08:34.974213,314416000,JUMBO,2025-09-19T17:07:47.594796,2.0,69.222907,18.079328,0.0
2025-09-19T19:08:34.974213,231065000,SJOBORG,2025-09-19T17:07:47.594810,2.0,70.667963,23.664398,0.0
2025-09-19T19:08:34.974213,585900149,FDA WARNING 34,2025-09-19T17:07:47.595056,2.0,69.281352,17.910235,0.0
2025-09-19T19:08:34.974213,585900220,DODRAUG2 88,2025-09-19T17:07:47.595059,2.0,70.639437,30.660903,2.2
2025-09-19T19:08:34.974213,585900225,JENS 1 49,2025-09-19T17:07:47.595062,2.0,69.42583,18.452045,0.1
2025-09-19T19:08:34.974213,585900237,JENS 2 49,2025-09-19T17:07:47.595065,2.0,69.415645,18.451577,0.1
2025-09-19T19:08:34.974213,585900259,NORSOL 2 78,2025-09-19T17:07:47.595068,2.0,69.027897,16.221588,1.4
2025-09-19T19:08:34.974213,585900264,NORSOL 3 60,2025-09-19T17:07:47.595071,2.0,69.00337,16.138477,0.5
2025-09-19T19:08:34.974213,585900265,NORSOL 1 97,2025-09-19T17:07:47.595074,2.0,68.955275,16.085927,0.4
2025-09-19T19:08:34.974213,585900266,NORSOL 5 19,2025-09-19T17:07:47.595077,2.0,69.077987,16.158565,0.7
2025-09-19T19:08:34.974213,585900267,NORSOL 4 55,2025-09-19T17:07:47.595080,2.0,68.972678,16.098462,0.2
2025-09-19T19:08:34.974213,538003746,KANARIS,2025-09-19T17:07:47.595144,2.0,68.430593,17.40264,0.0
2025-09-19T19:08:34.974213,538005351,CLEAN PLANET,2025-09-19T16:07:46.217984,3.0,70.687992,32.57264,14.9
2025-09-19T19:08:34.974213,231605001,KONGSBORG MOB,2025-09-19T14:26:37.913136,4.7,70.652245,23.578608,0.2
2025-09-19T19:08:34.974213,109030760,JENS BOY 3,2025-09-19T17:07:47.595236,2.0,69.397717,18.436462,0.3
2025-09-19T19:08:34.974213,249257000,PENGLAI,2025-09-19T14:56:37.566504,4.2,65.014402,7.565997,12.0
2025-09-19T19:08:34.974213,310588000,FLOATEL SUPERIOR,2025-09-19T17:07:47.595409,2.0,65.10833333333333,6.79,0.0
2025-09-19T19:08:34.974213,231763000,QUEST,2025-09-19T17:07:47.595421,2.0,69.635557,18.935813,0.0
2025-09-19T19:08:34.974213,250400644,250400644,2025-09-19T17:07:47.595647,2.0,69.406028,18.417033,0.1
2025-09-19T19:08:34.974213,941500813,ANTON EMILIAN 31,2025-09-19T17:07:47.595710,2.0,70.780553,26.151333,1.6
2025-09-19T19:08:34.974213,941500819,ANTON EMILIAN 18,2025-09-19T17:07:47.595713,2.0,70.795722,26.005812,1.2
2025-09-19T19:08:34.974213,109120410,NORSOL 1 14,2025-09-19T17:07:47.595760,2.0,68.98408,16.054855,3.0
2025-09-19T19:08:34.974213,109120421,NORSOL 3 23,2025-09-19T17:07:47.595763,2.0,68.950917,16.008292,0.6
2025-09-19T19:08:34.974213,109120446,SENJATIND 1 52,2025-09-19T17:07:47.595766,2.0,69.532877,18.079988,0.1
2025-09-19T19:08:34.974213,109120462,KARL MARTIN BO 88,2025-09-19T17:07:47.595773,2.0,69.172815,17.941695,0.1
2025-09-19T19:08:34.974213,109120463,KARL MARTIN BO 81,2025-09-19T17:07:47.595776,2.0,69.179722,17.977082,0.2
2025-09-19T19:08:34.974213,109050519,MUSVERINGEN 16,2025-09-19T17:07:47.595950,2.0,70.695383,30.383052,1.3
2025-09-19T19:08:34.974213,109050891,SOLRUN B 3 69,2025-09-19T17:07:47.595983,2.0,70.633385,29.721808,0.2
2025-09-19T19:08:34.974213,109050900,SENJALIV 1 43,2025-09-19T17:07:47.595988,2.0,69.529935,18.101203,0.3
2025-09-19T19:08:34.974213,109050923,SARA KARIN 80,2025-09-19T17:07:47.595997,2.0,74.668047,18.780507,8.2
2025-09-19T19:08:34.974213,109050937,HAAVARD A 63,2025-09-19T17:07:47.596000,2.0,67.646143,15.135388,0.0
2025-09-19T19:08:34.974213,231099000,HAV NES,2025-09-19T14:59:50.513068,4.1,65.028642,11.604557,10.7
2025-09-19T19:08:34.974213,109060230,KRISTINE E,2025-09-19T17:07:47.596335,2.0,71.174415,26.48847,1.6
2025-09-19T19:08:34.974213,109060233,KRISTINE E,2025-09-19T17:07:47.596338,2.0,71.171447,26.46456,1.1
2025-09-19T19:08:34.974213,109060326,AH SENIOR,2025-09-19T14:32:57.656195,4.6,70.81341,29.726408,4.1
2025-09-19T19:08:34.974213,941215684,HAAVARD A,2025-09-19T17:07:47.596382,2.0,67.622627,15.243805,0.9
2025-09-19T19:08:34.974213,702106000,MARCUS,2025-09-19T17:07:47.596598,2.0,69.90333333333334,21.876666666666665,0.0
2025-09-19T19:08:34.974213,111257011,NOR-012,2025-09-19T17:07:47.596669,2.0,67.271697,14.357802,0.0
2025-09-19T19:08:34.974213,111257506,LN-OXH,2025-09-19T17:07:47.596685,2.0,69.686008,18.914372,0.0
2025-09-19T19:08:34.974213,111257512,SAR AC RESCUE 7,2025-09-19T16:47:54.856743,2.3,69.683183,18.91261,0.0
2025-09-19T19:08:34.974213,109050901,NORSOL 1 91,2025-09-19T17:07:47.595991,2.0,68.988878,16.04245,0.4
2025-09-19T19:08:34.974213,109080531,RASA 1,2025-09-19T17:07:47.594289,2.0,70.241502,19.49652,0.6
2025-09-19T19:08:34.974213,109060315,RASA 5,2025-09-19T17:07:47.596344,2.0,70.24145,19.496377,0.6
2025-09-19T19:08:34.974213,109060308,RASA 2,2025-09-19T17:07:47.596341,2.0,70.241552,19.496275,0.3
2025-09-19T19:08:34.974213,109120407,NORSOL 2 95,2025-09-19T17:07:47.595757,2.0,69.083422,16.142448,1.4
